region_code,label,lon,lat
5,Venice,12.335,45.438
5,Padua,11.877,45.407
5,Verona,10.991,45.438
5,Vicenza,11.546,45.546
5,Treviso,12.245,45.666
5,Belluno,12.217,46.139
5,Rovigo,11.790,45.070
9,Florence,11.255,43.770
9,Pisa,10.401,43.716
9,Siena,11.331,43.318
9,Arezzo,11.883,43.464
9,Grosseto,11.113,42.762
9,Lucca,10.502,43.843
1,Turin,7.686,45.070
1,Cuneo,7.548,44.384
1,Asti,8.207,44.900
1,Alessandria,8.615,44.913
1,Novara,8.622,45.446
1,Verbania,8.555,45.922
19,Palermo,13.361,38.116
19,Catania,15.087,37.502
19,Messina,15.555,38.193
19,Syracuse,15.286,37.075
19,Agrigento,13.583,37.311
19,Trapani,12.509,38.017
19,Ragusa,14.731,36.927
